Product Name,Sale Price (₹),Original Price (₹),Discount,Product URL
42 Sachets Assorted Coffee Powder Box,206.00,259.00,Yes,https://www.bevzilla.co/products/assorted-pack-of-42-flavoured-coffee-sachets
Coconut Coffee Powder Sachets,169.00,299.00,Yes,https://www.bevzilla.co/products/48-sachets-of-coconut-coffee-powder
Caramel Coffee Powder sachets,169.00,299.00,Yes,https://www.bevzilla.co/products/48-sachets-of-caramel-coffee-powder
Orange Coffee Powder sachets,169.00,299.00,Yes,https://www.bevzilla.co/products/48-sachets-of-orange-coffee-powder
4 Flavours Mocktail Combo with Free Drinks Measurer + Cards,1999.00,,No Discount,https://www.bevzilla.co/products/c8-4-flavours-mocktail-combo-with-free-drinks-measurer-cards
Super Saver Coffee Combo (FREE FROTHER),5999.00,,No Discount,https://www.bevzilla.co/products/c7-super-saver-coffee-combo-free-frother
Mocktail Mixers Combo (All 4 Flavours),461.00,,No Discount,https://www.bevzilla.co/products/c6-mocktail-mixers-combo-all-4-flavours
50GM x 4 Flavoured Coffee Jars,1449.00,,No Discount,https://www.bevzilla.co/products/c5-50gm-x-4-flavoured-coffee-jars
Iced Tea - 400 gms x 5 flavours,4847.00,,No Discount,https://www.bevzilla.co/products/c3-iced-tea-400-gms-x-5-flavours
Milkshake Cubes Combo (All 4 Flavours),1500.00,,No Discount,https://www.bevzilla.co/products/c2-milkshake-cubes-combo-all-4-flavours
12 Dark Roast Coffee Sachets,49.00,99.00,Yes,https://www.bevzilla.co/products/12-dark-wish-sachets
Iced Tea Powder 5 Assorted Flavours Pack,141.00,,No Discount,https://www.bevzilla.co/products/iced-tea-powder-5-assorted-flavours-pack
Assorted pack of 	Coffee Sachets With 25 flavoured coffee sachets + free cafe glass,249.00,999.00,Yes,https://www.bevzilla.co/products/assorted-pack-of-coffee-sachets-with-25-flavoured-coffee-sachets-free-cafe-glass
25 flavoured Coffee Sachets & Cafe Glass Gift Box,169.00,999.00,Yes,https://www.bevzilla.co/products/diwali-gift-box-2
Premium French Vanilla Coffee Powder - 200 grams,379.00,999.00,Yes,https://www.bevzilla.co/products/premium-french-vanilla-coffee-powder-200-grams
Premium Hazelnut Coffee Powder - 200 grams,379.00,999.00,Yes,https://www.bevzilla.co/products/premium-hazelnut-coffee-powder-200-grams
Premium Choco Mocha Coffee Powder - 200 grams,399.00,999.00,Yes,https://www.bevzilla.co/products/premium-choco-mocha-coffee-powder-200-grams
Premium Butterscotch Coffee Powder - 200 grams,379.00,999.00,Yes,https://www.bevzilla.co/products/premium-butterscotch-coffee-powder-200-grams
Coffee Powder Combo,499.00,1999.00,Yes,https://www.bevzilla.co/products/coffee-powder-combo
Your Perfect Beverage Bundle,399.00,,No Discount,https://www.bevzilla.co/products/your-perfect-beverage-bundle
12 Dark Roast Coffee Sachets - Trail Pack,106.00,,No Discount,https://www.bevzilla.co/products/dark-wish-coffee-12-sachets
Peach Passion Iced Tea,109.00,,No Discount,https://www.bevzilla.co/products/peach-passion-iced-tea-3-sachets
24 Flavoured Coffee Sachets,159.00,150.00,Yes,https://www.bevzilla.co/products/24-flavoured-coffee-sachets
Assorted 5 Coffee Cubes,106.00,175.00,Yes,https://www.bevzilla.co/products/assorted-coffee-cubes-5-sachets
Assorted 4 Milkshake Cubes,106.00,,No Discount,https://www.bevzilla.co/products/assorted-milkshake-cubes-4-sachets
25G Turkish Hazelnut Coffee Powder,95.00,,No Discount,https://www.bevzilla.co/products/turkish-hazelnut-coffee-powder-25-grams
25G English Butterscotch Coffee Powder,106.00,,No Discount,https://www.bevzilla.co/products/english-butterscotch-coffee-powder-25-grams
25G French Vanilla Coffee Powder,95.00,,No Discount,https://www.bevzilla.co/products/french-vanilla-coffee-powder-25-grams
25G Colombian Gold Coffee Powder,106.00,,No Discount,https://www.bevzilla.co/products/colombian-gold-coffee-powder-25-grams
Iced Tea - 400 gms x 5 flavours,1350.00,,No Discount,https://www.bevzilla.co/products/iced-tea-400-gms-x-5-flavours
Assorted Milkshake Cubes,188.00,349.00,Yes,https://www.bevzilla.co/products/assorted-milkshake-cubes
Bevzilla Fatloss Green Coffee Powder - 275GM,472.00,999.00,Yes,https://www.bevzilla.co/products/bevzilla-organic-green-coffee-powder-275-grams
50GM x 4 Flavoured Coffee Jars,1449.00,,No Discount,https://www.bevzilla.co/products/coffee-powder-jars-combo
10 Flavoured Coffee Cubes + Shaker,224.00,499.00,Yes,https://www.bevzilla.co/products/coffee-cube-shaker-pack
1Kg Blueberry Instant Iced Tea Mix Commercial Pack,699.00,1499.00,Yes,https://www.bevzilla.co/products/1kg-blueberry-iced-tea-mix
1Kg Watermelon Instant Iced Tea Mix Commercial Pack,699.00,1499.00,Yes,https://www.bevzilla.co/products/1kg-watermelon-iced-tea-mix
1Kg Black Currant Instant Iced Tea Mix Commercial Pack,699.00,1499.00,Yes,https://www.bevzilla.co/products/1kg-black-currant-iced-tea-mix
1Kg Lemon Instant Iced Tea Mix Commercial Pack,699.00,1499.00,Yes,https://www.bevzilla.co/products/1kg-lemon-iced-tea-mix
1Kg Peach Passion Instant Iced Tea Mix Commercial Pack,699.00,1499.00,Yes,https://www.bevzilla.co/products/1kg-peach-passion-iced-tea-mix
1 KG Vanilla Instant Coffee Powder Commercial Pack,1599.00,1999.00,Yes,https://www.bevzilla.co/products/1-kg-vanilla-coffee-powder-commercial-pack
